0001.gif,Crypto Warrior #0001,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/105282133696278971909294323405992986946481282754168230213467738926961303486465/
0002.gif,Crypto Warrior #0002,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/105282133696278971909294323405992986946481282754168230213467738928060815114241/
0003.gif,Crypto Warrior #0003,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/105282133696278971909294323405992986946481282754168230213467738929160326742017/
0004.gif,Crypto Warrior #0004,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/105282133696278971909294323405992986946481282754168230213467738930259838369793/
0005.gif,Crypto Warrior #0005,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/105282133696278971909294323405992986946481282754168230213467738931359349997569/
0006.gif,Crypto Warrior #0006,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/105282133696278971909294323405992986946481282754168230213467738932458861625345/
0007.gif,Crypto Warrior #0007,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/105282133696278971909294323405992986946481282754168230213467738933558373253121/
0008.gif,Crypto Warrior #0008,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/105282133696278971909294323405992986946481282754168230213467738934657884880897/
0009.gif,Crypto Warrior #0009,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/105282133696278971909294323405992986946481282754168230213467738935757396508673/
0010.gif,Crypto Warrior #0010,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/105282133696278971909294323405992986946481282754168230213467738936856908136449/
0011.gif,Crypto Warrior #0011,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/105282133696278971909294323405992986946481282754168230213467738963245187203073/
0012.gif,Crypto Warrior #0012,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/105282133696278971909294323405992986946481282754168230213467738964344698830849/
0013.gif,Crypto Warrior #0013,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/105282133696278971909294323405992986946481282754168230213467738965444210458625/
0014.gif,Crypto Warrior #0014,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/105282133696278971909294323405992986946481282754168230213467738966543722086401/
0015.gif,Crypto Warrior #0015,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/105282133696278971909294323405992986946481282754168230213467738967643233714177/
0016.gif,Crypto Warrior #0016,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/105282133696278971909294323405992986946481282754168230213467738968742745341953/
0017.gif,Crypto Warrior #0017,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/105282133696278971909294323405992986946481282754168230213467738969842256969729/
0018.gif,Crypto Warrior #0018,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/105282133696278971909294323405992986946481282754168230213467738970941768597505/
0019.gif,Crypto Warrior #0019,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/105282133696278971909294323405992986946481282754168230213467738972041280225281/
0020.gif,Crypto Warrior #0020,https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/105282133696278971909294323405992986946481282754168230213467738973140791853057/
